iter	Passed	Remaining
364	1812	3154
365	1814	3143
366	1817	3135
367	1819	3125
368	1824	3119
369	1829	3115
370	1831	3104
371	1832	3093
372	1834	3083
373	1841	3082
374	1846	3078
375	1848	3068
376	1850	3057
377	1852	3047
378	1857	3043
379	1859	3034
380	1861	3024
381	1863	3014
382	1864	3003
383	1866	2993
384	1868	2984
385	1872	2978
386	1873	2968
387	1877	2961
388	1878	2951
389	1881	2943
390	1892	2948
391	1898	2944
392	1902	2938
393	1906	2932
394	1923	2946
395	1932	2947
396	1934	2938
397	1937	2930
398	1939	2921
399	1942	2913
400	1946	2908
401	1950	2901
402	1952	2892
403	1954	2882
404	1957	2876
405	1961	2870
406	1963	2861
407	1965	2851
408	1966	2842
409	1968	2832
410	1983	2842
411	1984	2832
412	1986	2823
413	1989	2815
414	1990	2806
415	1992	2797
416	1994	2788
417	1996	2779
418	1997	2770
419	1999	2760
420	2001	2753
421	2003	2744
422	2012	2744
423	2013	2735
424	2015	2727
425	2017	2719
426	2027	2721
427	2029	2712
428	2031	2704
429	2033	2695
430	2035	2686
431	2037	2678
432	2046	2680
433	2048	2671
434	2049	2662
435	2051	2653
436	2053	2645
437	2055	2637
438	2056	2628
439	2059	2621
440	2061	2613
441	2063	2604
442	2065	2596
443	2066	2588
444	2068	2579
445	2070	2571
446	2071	2562
447	2075	2557
448	2077	2549
449	2079	2541
450	2080	2533
451	2082	2524
452	2085	2517
453	2086	2509
454	2092	2506
455	2094	2498
456	2096	2490
457	2098	2483
458	2100	2475
459	2102	2467
460	2103	2459
461	2107	2454
462	2109	2446
463	2111	2438
464	2113	2431
465	2114	2423
466	2116	2415
467	2123	2413
468	2126	2407
469	2128	2399
470	2156	2421
471	2158	2414
472	2159	2406
473	2161	2398
474	2163	2390
475	2164	2383
476	2166	2375
477	2171	2371
478	2173	2363
479	2174	2356
480	2176	2348
481	2178	2341
482	2181	2334
483	2186	2330
484	2188	2323
485	2189	2315
486	2191	2308
487	2209	2317
488	2214	2313
489	2220	2311
490	2222	2304
491	2224	2297
492	2226	2289
493	2228	2282
494	2229	2274
495	2234	2270
496	2236	2263
497	2239	2257
498	2240	2249
499	2242	2242
500	2249	2240
501	2251	2233
502	2284	2257
503	2286	2250
504	2288	2242
505	2289	2235
506	2310	2246
507	2315	2243
508	2318	2236
509	2320	2229
510	2321	2221
511	2323	2214
512	2325	2207
513	2327	2200
514	2329	2193
515	2331	2186
516	2332	2179
517	2334	2172
518	2337	2166
519	2338	2158
520	2340	2151
521	2342	2145
522	2344	2138
523	2355	2140
524	2357	2133
525	2359	2126
526	2365	2122
527	2369	2117
528	2373	2113
529	2376	2107
530	2382	2104
531	2389	2101
532	2393	2097
533	2395	2090
534	2397	2083
535	2399	2077
536	2401	2070
537	2403	2064
538	2414	2065
539	2416	2058
540	2418	2051
541	2420	2044
542	2421	2038
543	2426	2033
544	2427	2026
545	2429	2020
546	2432	2014
547	2440	2013
548	2444	2007
549	2446	2001
550	2448	1995
551	2450	1988
552	2451	1981
553	2456	1977
554	2458	1970
555	2459	1964
556	2461	1957
557	2463	1951
558	2464	1944
559	2466	1938
560	2468	1931
561	2472	1927
562	2476	1922
563	2484	1920
564	2487	1914
565	2492	1911
566	2494	1905
567	2497	1899
568	2503	1896
569	2505	1890
570	2508	1884
571	2509	1877
572	2511	1871
573	2513	1865
574	2524	1866
575	2526	1860
576	2528	1853
577	2531	1848
578	2535	1843
579	2537	1837
580	2539	1831
581	2541	1825
582	2543	1819
583	2547	1814
584	2549	1808
585	2551	1802
586	2553	1796
587	2555	1790
588	2556	1784
589	2558	1777
590	2560	1771
591	2565	1767
592	2569	1763
593	2571	1757
594	2573	1751
595	2575	1745
596	2579	1741
597	2581	1735
598	2583	1729
599	2584	1723
600	2586	1717
601	2587	1710
602	2589	1704
603	2591	1699
604	2593	1693
605	2594	1687
606	2596	1681
607	2598	1675
608	2600	1669
609	2602	1663
610	2607	1659
611	2608	1653
612	2610	1648
613	2612	1642
614	2614	1636
615	2615	1630
616	2617	1624
617	2623	1621
618	2626	1616
619	2627	1610
620	2629	1604
621	2630	1598
622	2632	1593
623	2635	1587
624	2638	1583
625	2641	1578
626	2643	1572
627	2645	1567
628	2647	1561
629	2651	1557
630	2656	1553
631	2658	1548
632	2661	1543
633	2663	1537
634	2666	1532
635	2667	1526
636	2669	1521
637	2671	1515
638	2673	1510
639	2675	1504
640	2682	1502
641	2685	1497
642	2686	1491
643	2689	1486
644	2691	1481
645	2698	1478
646	2700	1473
647	2702	1467
648	2704	1462
649	2706	1457
650	2714	1455
651	2719	1451
652	2725	1448
653	2731	1445
654	2733	1439
655	2735	1434
656	2736	1428
657	2743	1425
658	2744	1420
659	2746	1415
660	2749	1409
661	2750	1404
662	2752	1399
663	2755	1394
664	2757	1389
665	2759	1383
666	2760	1378
667	2762	1372
668	2775	1373
669	2783	1370
670	2785	1365
671	2787	1360
672	2789	1355
673	2791	1350
674	2793	1344
675	2795	1339
676	2799	1335
677	2801	1330
678	2803	1325
679	2804	1319
680	2809	1316
681	2813	1311
682	2816	1307
683	2818	1302
684	2821	1297
685	2828	1294
686	2830	1289
687	2832	1284
688	2834	1279
689	2844	1277
690	2846	1272
691	2847	1267
692	2849	1262
693	2852	1257
694	2860	1255
695	2863	1250
696	2865	1245
697	2866	1240
698	2868	1235
699	2875	1232
700	2877	1227
701	2881	1223
702	2891	1221
703	2892	1216
704	2895	1211
705	2897	1206
706	2899	1201
707	2907	1198
708	2912	1195
709	2914	1190
710	2922	1187
711	2924	1182
712	2926	1177
713	2928	1172
714	2930	1167
715	2931	1162
716	2933	1157
717	2948	1158
718	2950	1153
719	2953	1148
720	2955	1143
721	2957	1138
722	2958	1133
723	2963	1129
724	2966	1125
725	2968	1120
726	2970	1115
727	2972	1110
728	2974	1105
729	2978	1101
730	2981	1097
731	2984	1092
732	2986	1087
733	2988	1082
734	2990	1078
735	2996	1074
736	2999	1070
737	3001	1065
738	3004	1060
739	3007	1056
740	3009	1051
741	3011	1047
742	3013	1042
743	3015	1037
744	3018	1033
745	3025	1030
746	3027	1025
747	3029	1020
748	3031	1015
749	3032	1010
750	3042	1008
751	3046	1004
752	3048	999
753	3050	995
754	3055	991
755	3057	986
756	3059	982
757	3061	977
758	3063	972
759	3065	967
760	3070	964
761	3072	959
762	3073	954
763	3075	950
764	3077	945
765	3080	940
766	3084	937
767	3086	932
768	3088	927
769	3089	922
770	3091	918
771	3094	913
772	3096	909
773	3101	905
774	3102	900
775	3104	896
776	3106	891
777	3108	886
778	3110	882
779	3112	877
780	3117	874
781	3119	869
782	3121	864
783	3122	860
784	3124	855
785	3126	851
786	3131	847
787	3132	842
788	3134	838
789	3136	833
790	3138	829
791	3140	824
792	3141	820
793	3143	815
794	3145	811
795	3147	806
796	3148	802
797	3150	797
798	3152	793
799	3154	788
800	3155	784
801	3161	780
802	3163	776
803	3165	771
804	3167	767
805	3169	762
806	3171	758
807	3173	754
808	3175	749
809	3282	770
810	3289	766
811	3291	762
812	3293	757
813	3295	752
814	3296	748
815	3298	743
816	3300	739
817	3308	736
818	3310	731
819	3313	727
820	3314	722
821	3325	720
822	3327	715
823	3329	711
824	3331	706
825	3347	705
826	3393	709
827	3396	705
828	3402	701
829	3406	697
830	3408	693
831	3410	688
832	3412	684
833	3421	680
834	3423	676
835	3425	671
836	3427	667
837	3428	662
838	3451	662
839	3454	658
840	3500	661
841	3502	657
842	3504	652
843	3507	648
844	3509	643
845	3523	641
846	3525	636
847	3531	632
848	3533	628
849	3534	623
850	3536	619
851	3538	614
852	3540	610
853	3544	605
854	3546	601
855	3548	596
856	3550	592
857	3552	587
858	3554	583
859	3567	580
860	3569	576
861	3572	571
862	3577	567
863	3579	563
864	3580	558
865	3583	554
866	3586	550
867	3588	545
868	3593	541
869	3595	537
870	3598	532
871	3600	528
872	3602	524
873	3607	520
874	3628	518
875	3630	513
876	3631	509
877	3634	505
878	3636	500
879	3640	496
880	3643	492
881	3645	487
882	3647	483
883	3649	478
884	3651	474
885	3656	470
886	3657	466
887	3659	461
888	3662	457
889	3680	454
890	3682	450
891	3684	446
892	3697	442
893	3698	438
894	3700	434
895	3702	429
896	3714	426
897	3716	422
898	3724	418
899	3726	414
900	3728	409
901	3730	405
902	3732	400
903	3737	396
904	3738	392
905	3741	388
906	3743	383
907	3745	379
908	3751	375
909	3753	371
910	3755	366
911	3757	362
912	3761	358
913	3766	354
914	3768	350
915	3770	345
916	3772	341
917	3774	337
918	3776	332
919	3782	328
920	3834	328
921	3836	324
922	3837	320
923	3839	315
924	3841	311
925	3843	307
926	3847	303
927	3849	298
928	3851	294
929	3853	290
930	3855	285
931	3857	281
932	3859	277
933	3860	272
934	3862	268
935	3864	264
936	3867	260
937	3869	255
938	3874	251
939	3876	247
940	3878	243
941	3879	238
942	3882	234
943	3884	230
944	3885	226
945	3891	222
946	3893	217
947	3896	213
948	3898	209
949	3900	205
950	3906	201
951	3915	197
952	3917	193
953	3927	189
954	3928	185
955	3930	180
956	3932	176
957	3937	172
958	3939	168
959	3941	164
960	3943	160
961	3945	155
962	3949	151
963	3953	147
964	3955	143
965	3956	139
966	3958	135
967	3960	130
968	3962	126
969	3973	122
970	3977	118
971	3979	114
972	3981	110
973	3986	106
974	3988	102
975	3990	98
976	3992	93
977	4012	90
978	4017	86
979	4019	82
980	4027	78
981	4033	73
982	4036	69
983	4041	65
984	4043	61
985	4049	57
986	4055	53
987	4058	49
988	4060	45
989	4067	41
990	4069	36
991	4072	32
992	4074	28
993	4075	24
994	4081	20
995	4086	16
996	4088	12
997	4090	8
998	4103	4
999	4105	0
